Title,Gender,Ethnicity,Annual Salary,Years of Employment
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,8
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,8
"MuniProg, Paraprofessional",F,White,38480.0,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,White,31200.0,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",M,Asian,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
Police Officer,M,White,72681.44,6
Police Officer,M,White,83210.4,15
Police Officer,M,White,83210.4,13
Police Officer,M,White,72681.44,5
Police Officer,M,Hispanic or Latino,95270.24,20
Police Corporal/Detective,M,Hispanic or Latino,103844.0,21
Police Officer,M,Hispanic or Latino,72681.44,5
Police Corporal/Detective,F,Hispanic or Latino,90700.48,12
Police Officer,M,White,77767.04,8
Police Officer,M,White,72681.44,7
Police Officer,M,White,58680.96,2
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,Hispanic or Latino,72681.44,3
Police Officer,F,Hispanic or Latino,83210.4,13
Police Officer,M,Hispanic or Latino,77767.04,14
Police Corporal/Detective,M,Hispanic or Latino,90700.48,14
Police Officer,M,White,72681.44,4
Police Officer,M,Hispanic or Latino,72681.44,5
Police Corporal/Detective,M,White,103844.0,18
Police Officer,F,Hispanic or Latino,72681.44,5
Police Officer,F,White,72681.44,5
Police Officer,M,White,72681.44,5
Police Officer,M,White,72681.44,7
Administrative Specialist,F,Black or African American,51542.4,6
Police Officer,M,White,83210.4,15
Police Officer,F,White,72681.44,4
Police Officer,M,Hispanic or Latino,72681.44,3
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,Asian,65850.72,3
Police Officer,M,White,72681.44,6
Police Corporal/Detective,M,White,97048.64,17
Police Officer,M,White,77767.04,11
Police Officer,M,White,72681.44,7
Police Corporal/Detective,F,Black or African American,97048.64,17
Police Corporal/Detective,F,Hispanic or Latino,90700.48,15
Police Corporal/Detective,M,Hispanic or Latino,103844.0,24
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,Hispanic or Latino,65850.72,3
Police Officer,M,White,58680.96,2
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,White,58680.96,2
Police Officer,M,White,58680.96,2
Police Officer,M,White,77767.04,9
Police Officer,F,White,72681.44,3
Police Officer,F,Hispanic or Latino,83210.4,13
Police Officer,M,Hispanic or Latino,95270.24,18
Police Officer,M,White,77767.04,8
Police Officer,M,Black or African American,95270.24,21
Police Officer,M,Hispanic or Latino,72681.44,5
Police Officer,F,Hispanic or Latino,83210.4,13
Police Corporal/Detective,M,Hispanic or Latino,103844.0,18
Police Officer,F,Black or African American,72681.44,7
Police Officer,M,Hispanic or Latino,72681.44,6
Police Officer,M,White,77767.04,10
Police Officer,M,White,77767.04,11
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,White,72681.44,7
Police Officer,M,Black or African American,95270.24,20
Police Officer,M,White,72681.44,8
Police Corporal/Detective,M,White,103844.0,23
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,White,77767.04,8
Police Corporal/Detective,M,White,103844.0,14
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,F,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,83210.4,15
Police Officer,M,Hispanic or Latino,83210.4,13
Police Corporal/Detective,M,White,84766.24,8
Police Officer,M,White,89034.4,17
Police Officer,M,White,83210.4,14
Police Officer,M,Black or African American,72681.44,6
Police Officer,M,White,58680.96,2
Police Officer,M,Hispanic or Latino,72681.44,5
Police Officer,F,White,83210.4,12
Police Corporal/Detective,M,White,103844.0,22
Police Corporal/Detective,M,White,97048.64,17
Police Officer,M,White,72681.44,6
Police Officer,M,White,77767.04,8
Police Officer,M,Hispanic or Latino,83210.4,15
Police Officer,M,White,65850.72,3
Police Officer,M,White,77767.04,11
Police Officer,F,White,58680.96,2
Police Corporal/Detective,F,White,103844.0,24
Police Officer,M,Asian,72681.44,6
Police Corporal/Detective,M,Asian,84766.24,11
Police Corporal/Detective,F,Asian,97048.64,16
Police Officer,F,White,58680.96,2
Police Corporal/Detective,M,White,97048.64,17
Police Corporal/Detective,M,White,90700.48,13
Police Corporal/Detective,M,White,103844.0,18
Police Officer,M,White,95270.24,20
Police Officer,M,White,95270.24,26
Police Officer,M,White,72681.44,5
Police Officer,M,Hispanic or Latino,83210.4,14
Police Officer,M,White,72681.44,7
Police Officer,M,Hispanic or Latino,95270.24,18
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,103844.0,24
Police Officer,M,Black or African American,72681.44,6
Police Corporal/Detective,M,Hispanic or Latino,84766.24,8
Police Officer,M,White,83210.4,12
Police Officer,F,White,72681.44,5
Police Officer,M,White,72681.44,5
Police Corporal/Detective,M,White,90700.48,13
Police Officer,M,White,95270.24,13
Police Officer,M,White,72681.44,7
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,103844.0,24
Police Officer,M,White,89034.4,16
Police Officer,M,White,95270.24,20
Police Corporal/Detective,M,White,103844.0,24
Police Officer,M,White,65850.72,3
Police Officer,M,White,72681.44,5
Police Officer,M,White,58680.96,2
Police Officer,M,Black or African American,83210.4,12
Police Officer,M,White,77767.04,11
Police Corporal/Detective,M,Black or African American,103844.0,20
Police Corporal/Detective,M,Black or African American,103844.0,27
Police Officer,M,White,72681.44,4
Police Officer,M,White,65850.72,3
Police Officer,M,White,77767.04,8
Police Officer,M,White,83210.4,15
Police Officer,M,White,58680.96,2
Police Officer,M,White,83210.4,15
Police Officer,M,White,77767.04,11
Police Officer,M,White,72681.44,4
Police Officer,M,Black or African American,72681.44,7
Police Officer,M,White,83210.4,13
Police Corporal/Detective,M,White,90700.48,14
Police Officer,M,White,72681.44,6
Police Corporal/Detective,M,White,103844.0,22
Police Officer,M,White,72681.44,8
Police Officer,F,White,95270.24,18
Police Officer,M,Hispanic or Latino,95270.24,24
Police Corporal/Detective,M,White,90700.48,15
Police Officer,F,Hispanic or Latino,58680.96,2
Police Officer,M,White,83210.4,13
Police Corporal/Detective,M,White,97048.64,16
Police Corporal/Detective,M,White,103844.0,18
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,97048.64,17
Police Corporal/Detective,M,Hispanic or Latino,103844.0,18
Police Officer,M,White,83210.4,12
Police Officer,M,White,58680.96,2
Police Officer,M,White,58680.96,2
Police Officer,F,Hispanic or Latino,83210.4,13
Police Officer,M,Black or African American,72681.44,5
Police Officer,M,White,77767.04,8
Police Officer,M,White,77767.04,11
Police Officer,M,White,58680.96,2
Police Officer,M,White,65850.72,3
Police Officer,M,White,77767.04,10
Police Officer,M,White,72681.44,6
Police Officer,M,White,58680.96,2
Police Officer,F,White,77767.04,8
Police Officer,M,White,72681.44,7
Police Officer,F,Hispanic or Latino,95270.24,20
Police Officer,M,White,72681.44,7
Police Corporal/Detective,M,White,90700.48,13
Police Corporal/Detective,F,White,90700.48,15
Police Officer,M,White,72681.44,7
Police Officer,F,White,58680.96,2
Police Officer,M,White,95270.24,21
Police Officer,M,Black or African American,72681.44,5
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,White,72681.44,5
"MuniProg, Paraprofessional",M,White,59051.2,11
Police Corporal/Detective,M,White,90700.48,13
Police Corporal/Detective,M,White,103844.0,18
Police Officer,M,White,89034.4,17
Police Corporal/Detective,M,White,84766.24,10
Police Officer,M,White,83210.4,13
Police Officer,M,White,95270.24,18
Police Officer,M,White,65850.72,3
Police Corporal/Detective,M,White,103844.0,27
Police Officer,M,White,72681.44,5
Police Officer,M,White,58680.96,2
Police Officer,M,White,72681.44,6
Police Corporal/Detective,M,White,103844.0,19
Police Officer,M,Black or African American,77767.04,11
Police Corporal/Detective,M,White,103844.0,23
Police Officer,M,White,95270.24,22
Police Corporal/Detective,M,Hispanic or Latino,97048.64,16
Police Officer,M,White,77767.04,9
Police Officer,M,White,58680.96,2
Police Officer,M,White,77767.04,8
Police Officer,M,White,83210.4,12
Police Corporal/Detective,M,White,97048.64,17
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,90700.48,14
Police Officer,M,White,83210.4,13
Police Corporal/Detective,M,Black or African American,103844.0,20
Police Corporal/Detective,M,White,103844.0,20
Police Corporal/Detective,M,White,90700.48,12
Police Corporal/Detective,M,White,103844.0,18
Police Corporal/Detective,M,Hispanic or Latino,103844.0,20
Police Officer,M,White,58680.96,2
Police Officer,M,White,72681.44,7
Police Officer,M,Black or African American,83210.4,13
Police Corporal/Detective,M,White,84766.24,10
Police Officer,M,Hispanic or Latino,89034.4,17
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,White,72681.44,7
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,F,Hispanic or Latino,83210.4,13
Police Officer,M,White,83210.4,13
Administrative Specialist,F,White,52748.8,14
Police Officer,M,Black or African American,72681.44,8
Police Officer,M,Hispanic or Latino,58680.96,2
Police Corporal/Detective,M,Hispanic or Latino,84766.24,11
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,Hispanic or Latino,72681.44,6
Police Corporal/Detective,M,Hispanic or Latino,103844.0,24
Police Officer,F,White,58680.96,2
Police Officer,M,Black or African American,89034.4,17
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,83210.4,12
Police Officer,M,Hispanic or Latino,83210.4,13
Police Officer,M,Black or African American,58680.96,2
Police Officer,M,Hispanic or Latino,83210.4,12
Police Officer,F,White,65850.72,2
Police Officer,M,White,58680.96,2
Police Officer,M,Hispanic or Latino,77767.04,10
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,Black or African American,65850.72,3
Police Officer,M,White,72681.44,3
Police Corporal/Detective,M,White,103844.0,22
Police Officer,M,White,72681.44,7
Police Corporal/Detective,M,Hispanic or Latino,90700.48,15
Police Officer,M,White,58680.96,2
Police Officer,M,Hispanic or Latino,77767.04,12
Police Officer,M,Hispanic or Latino,83210.4,13
Police Corporal/Detective,M,Hispanic or Latino,97048.64,17
Police Corporal/Detective,M,Hispanic or Latino,103844.0,20
Police Corporal/Detective,M,Hispanic or Latino,90700.48,14
Administrative Specialist,F,Hispanic or Latino,56472.0,19
Police Officer,M,White,77767.04,8
Police Officer,M,White,72681.44,7
Police Officer,M,White,83210.4,13
Police Officer,M,Black or African American,89034.4,16
Police Corporal/Detective,M,White,103844.0,26
Police Officer,M,White,72681.44,4
Police Corporal/Detective,M,White,103844.0,21
Police Corporal/Detective,M,Hispanic or Latino,84766.24,11
Police Officer,F,Hispanic or Latino,77767.04,8
Police Officer,M,White,95270.24,27
Police Officer,M,White,89034.4,18
Police Officer,M,Hispanic or Latino,72681.44,5
Police Officer,M,White,65850.72,2
Police Officer,M,Hispanic or Latino,89034.4,16
Police Officer,M,Hispanic or Latino,77767.04,8
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,83210.4,13
Police Officer,M,Hispanic or Latino,83210.4,13
Police Officer,M,Hispanic or Latino,83210.4,12
Police Officer,M,White,83210.4,13
Police Officer,M,Hispanic or Latino,89034.4,16
Police Corporal/Detective,M,White,90700.48,13
Police Officer,F,White,83210.4,15
Police Corporal/Detective,M,White,90700.48,15
Police Officer,M,White,72681.44,3
Police Corporal/Detective,M,White,84766.24,10
Police Officer,M,Hispanic or Latino,65850.72,2
Administrative Specialist,F,Hispanic or Latino,53601.6,22
Police Officer,M,White,95270.24,26
Police Officer,M,White,65850.72,3
Police Officer,M,White,77767.04,10
Police Officer,M,White,95270.24,18
Police Officer,M,White,83210.4,12
Police Corporal/Detective,M,Hispanic or Latino,90700.48,13
Police Officer,M,Hispanic or Latino,72681.44,3
Police Corporal/Detective,M,Hispanic or Latino,90700.48,15
Police Officer,M,White,72681.44,5
Police Officer,M,White,65850.72,3
Police Officer,M,White,58680.96,2
Police Officer,M,Asian,65850.72,3
Police Corporal/Detective,M,Hispanic or Latino,103844.0,20
Police Officer,M,White,72681.44,5
Police Officer,M,White,72681.44,7
Police Corporal/Detective,M,White,84766.24,8
Police Corporal/Detective,M,Asian,90700.48,12
Police Officer,M,White,72681.44,7
Police Officer,M,Asian,83210.4,13
Police Officer,M,Asian,58680.96,2
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,Black or African American,103844.0,20
Police Officer,M,Black or African American,70549.44,8
Police Corporal/Detective,M,White,103844.0,22
Police Officer,M,White,83210.4,13
Police Officer,M,White,77767.04,11
Police Officer,M,White,65850.72,3
Police Officer,M,White,83210.4,12
Police Officer,M,White,58680.96,2
Police Officer,M,White,58680.96,2
Police Officer,M,White,58680.96,2
Police Officer,M,White,83210.4,13
Police Officer,M,White,72681.44,6
Police Corporal/Detective,M,White,103844.0,33
Police Officer,M,White,65850.72,3
Police Officer,M,White,58680.96,2
Police Officer,M,Black or African American,83210.4,13
Police Officer,M,Black or African American,72681.44,6
Police Officer,M,Black or African American,95270.24,22
Police Officer,M,White,72681.44,7
Police Officer,M,White,77767.04,9
Police Officer,M,Hispanic or Latino,95270.24,22
Police Corporal/Detective,M,White,103844.0,18
Police Officer,F,Hispanic or Latino,83210.4,13
Police Officer,M,White,83210.4,12
Police Officer,M,White,72681.44,5
Police Officer,F,White,77767.04,8
Police Officer,M,White,58680.96,2
Police Officer,M,White,72681.44,7
Police Officer,M,White,72681.44,7
Police Officer,M,White,77767.04,11
Police Officer,M,White,89034.4,17
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,White,77767.04,10
Administrative Specialist,F,White,44907.2,14
Police Officer,M,White,72681.44,4
Police Officer,M,White,77767.04,10
Police Officer,M,White,83210.4,13
Police Officer,M,White,65850.72,3
Police Officer,M,White,77767.04,11
Police Corporal/Detective,M,White,90700.48,13
Police Officer,M,Hispanic or Latino,77767.04,14
Police Officer,F,Hispanic or Latino,83210.4,13
Police Corporal/Detective,M,Hispanic or Latino,103844.0,24
Police Officer,M,Hispanic or Latino,83210.4,13
Police Officer,M,White,83210.4,13
Police Corporal/Detective,M,Hispanic or Latino,103844.0,22
Police Officer,M,White,77767.04,8
Police Officer,M,White,95270.24,21
Police Officer,M,White,89034.4,17
Police Officer,M,Asian,65850.72,3
Police Officer,F,White,89034.4,17
Police Officer,M,White,58680.96,2
Police Officer,M,White,95270.24,29
Police Officer,M,White,58680.96,2
Police Officer,M,White,77767.04,10
Police Officer,M,Hispanic or Latino,83210.4,14
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,72681.44,8
Police Officer,M,White,58680.96,2
Police Officer,M,Black or African American,95270.24,20
Police Officer,M,Black or African American,77767.04,8
Police Officer,M,White,77767.04,10
Police Officer,F,White,77767.04,9
Police Officer,F,White,72681.44,7
Police Officer,M,Black or African American,72681.44,6
Police Corporal/Detective,M,White,84766.24,10
Police Officer,M,White,72681.44,7
Police Officer,M,White,95270.24,36
Police Officer,M,Black or African American,95270.24,27
Police Officer,M,White,58680.96,2
Police Officer,M,White,77767.04,12
Police Officer,M,White,58680.96,2
Police Officer,M,White,95270.24,27
Police Officer,F,Black or African American,83210.4,13
Police Officer,M,White,95270.24,18
Police Corporal/Detective,M,White,90700.48,12
Police Officer,M,White,89034.4,16
Administrative Specialist,M,Hispanic or Latino,51542.4,11
Police Officer,M,White,65850.72,3
Police Officer,M,White,58680.96,2
Police Officer,M,White,83210.4,13
Police Officer,M,White,65850.72,3
Police Officer,M,White,83210.4,13
Police Officer,M,Hispanic or Latino,89034.4,17
Police Officer,F,White,72681.44,8
Police Corporal/Detective,M,Hispanic or Latino,90700.48,13
Police Corporal/Detective,M,Hispanic or Latino,84766.24,11
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,Hispanic or Latino,72681.44,7
Police Corporal/Detective,M,White,90700.48,15
Police Officer,M,White,77767.04,11
Police Officer,M,White,77767.04,11
Police Officer,M,White,89034.4,17
Police Officer,F,Hispanic or Latino,72681.44,5
Police Officer,M,Hispanic or Latino,95270.24,25
Police Corporal/Detective,M,Hispanic or Latino,103844.0,21
Police Corporal/Detective,M,Hispanic or Latino,103844.0,25
Police Officer,M,Hispanic or Latino,72681.44,8
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,Hispanic or Latino,95270.24,25
Police Officer,M,White,72681.44,6
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,103844.0,20
Police Officer,M,White,83210.4,15
Police Corporal/Detective,M,White,90700.48,13
Police Officer,M,White,77767.04,8
Police Corporal/Detective,F,White,103844.0,24
Police Officer,M,White,72681.44,7
Police Officer,F,White,77767.04,8
Police Officer,M,White,65850.72,3
Police Officer,M,White,58680.96,2
Police Officer,M,White,72681.44,5
Police Officer,M,White,77767.04,13
Police Officer,M,White,72681.44,4
Police Officer,M,White,65850.72,2
Police Officer,M,White,72681.44,5
Police Officer,M,Hispanic or Latino,72681.44,6
Police Corporal/Detective,M,Hispanic or Latino,97048.64,17
Police Corporal/Detective,M,White,90700.48,12
Police Corporal/Detective,M,White,84766.24,10
Police Officer,M,White,72681.44,6
Police Corporal/Detective,M,White,103844.0,19
Police Officer,M,White,72681.44,8
Police Officer,M,White,83210.4,12
Police Corporal/Detective,M,White,90700.48,13
Police Corporal/Detective,M,White,103844.0,20
Police Officer,M,White,77767.04,8
Police Officer,M,White,72681.44,3
Police Officer,M,White,77767.04,10
Police Corporal/Detective,M,Black or African American,103844.0,20
Police Corporal/Detective,M,White,103844.0,27
Police Corporal/Detective,M,Hispanic or Latino,103844.0,24
Police Officer,F,White,77767.04,11
Police Officer,M,White,83210.4,12
Police Corporal/Detective,M,White,103844.0,25
Police Officer,M,Black or African American,83210.4,13
Police Officer,M,White,83210.4,13
Police Officer,M,White,83210.4,14
Police Officer,M,White,83210.4,12
Police Officer,F,White,77767.04,11
Police Officer,M,White,65850.72,3
Police Corporal/Detective,M,Black or African American,103844.0,20
Police Officer,M,White,72681.44,7
Police Officer,M,White,58680.96,2
Police Corporal/Detective,F,White,90700.48,14
Police Officer,M,White,95270.24,21
Police Officer,M,White,95270.24,20
Police Officer,M,White,72681.44,8
Police Officer,M,White,77767.04,9
Police Corporal/Detective,M,White,84766.24,11
Police Officer,M,White,72681.44,8
Police Corporal/Detective,M,Hispanic or Latino,97048.64,17
Police Officer,M,White,72681.44,6
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,83210.4,12
Police Officer,M,Hispanic or Latino,72681.44,3
Police Officer,M,Hispanic or Latino,77767.04,11
Police Officer,M,Hispanic or Latino,83210.4,12
Police Officer,M,Hispanic or Latino,72681.44,6
Police Officer,M,White,72681.44,8
Police Officer,M,White,77767.04,14
Police Corporal/Detective,M,White,97048.64,17
Police Officer,M,White,95270.24,22
Police Corporal/Detective,F,White,103844.0,27
Police Officer,M,White,95270.24,25
Police Officer,M,White,95270.24,24
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,103844.0,28
Police Officer,M,White,72681.44,7
Police Officer,M,White,58680.96,2
Administrative Specialist,F,White,41600.0,2
Police Officer,M,White,72681.44,4
Police Officer,F,White,58680.96,2
Police Corporal/Detective,M,Hispanic or Latino,90700.48,13
Police Officer,M,White,72681.44,6
Police Corporal/Detective,M,Hispanic or Latino,84766.24,9
Police Corporal/Detective,M,White,103844.0,25
Police Officer,M,White,95270.24,13
Police Officer,M,White,65850.72,3
Police Corporal/Detective,M,White,90700.48,13
Police Corporal/Detective,M,White,97048.64,17
Police Corporal/Detective,M,White,103844.0,24
Police Officer,M,Hispanic or Latino,77767.04,10
Police Officer,M,White,65850.72,3
Police Officer,M,White,72681.44,6
Police Officer,M,White,83210.4,12
Police Officer,M,White,95270.24,22
Administrative Specialist,F,White,51542.4,8
Police Officer,M,White,95270.24,18
Police Officer,M,Hispanic or Latino,83210.4,15
Police Corporal/Detective,M,White,103844.0,18
Police Officer,M,White,65850.72,3
Police Officer,M,Asian,58680.96,2
Police Corporal/Detective,M,Black or African American,103844.0,27
Police Officer,M,White,65850.72,3
Police Officer,M,White,83210.4,12
Police Officer,F,White,65850.72,3
Police Corporal/Detective,M,White,84766.24,11
Police Officer,M,White,65850.72,3
Police Officer,M,White,72681.44,6
Police Corporal/Detective,F,White,103844.0,24
Police Officer,F,Black or African American,95270.24,20
Police Officer,F,Black or African American,83210.4,13
Police Officer,M,White,77767.04,8
Police Officer,M,White,65850.72,3
Police Officer,M,White,95270.24,18
Police Corporal/Detective,M,White,103844.0,18
Police Officer,M,White,72681.44,7
Police Corporal/Detective,M,White,90700.48,14
Police Officer,M,Black or African American,95270.24,18
Police Corporal/Detective,M,White,90700.48,13
Police Officer,M,White,72681.44,6
Police Officer,M,Hispanic or Latino,95270.24,34
Police Corporal/Detective,M,White,103844.0,25
Police Corporal/Detective,M,White,103844.0,24
Police Officer,F,White,58680.96,2
Police Officer,M,Black or African American,72681.44,4
Police Corporal/Detective,M,White,103844.0,26
Police Officer,M,White,83210.4,14
Police Officer,M,White,95270.24,20
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,White,77767.04,11
Police Corporal/Detective,M,White,103844.0,20
Police Officer,M,Hispanic or Latino,72681.44,4
Police Officer,M,White,77767.04,8
Police Officer,M,Hispanic or Latino,72681.44,5
Police Officer,M,White,95270.24,20
Police Officer,M,White,95270.24,21
Police Officer,M,White,72681.44,7
Police Officer,M,Hispanic or Latino,72681.44,5
Police Officer,M,Hispanic or Latino,83210.4,22
Police Officer,M,Hispanic or Latino,83210.4,18
Police Officer,M,Hispanic or Latino,95270.24,19
Police Officer,M,Hispanic or Latino,77767.04,15
Police Officer,M,Hispanic or Latino,95270.24,18
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,83210.4,13
Police Corporal/Detective,M,Hispanic or Latino,90700.48,12
Police Officer,M,White,72681.44,5
Police Corporal/Detective,M,White,97048.64,17
Police Officer,M,Asian,77767.04,11
Police Officer,M,Hispanic or Latino,83210.4,14
Police Officer,M,White,89034.4,17
Police Corporal/Detective,M,Hispanic or Latino,103844.0,31
Police Corporal/Detective,M,White,103844.0,21
Police Officer,M,White,72681.44,7
Police Officer,M,White,83210.4,14
Police Officer,M,White,65850.72,3
Police Officer,M,White,95270.24,18
Police Officer,M,White,83210.4,14
Police Officer,M,Hispanic or Latino,77767.04,8
Police Corporal/Detective,M,White,90700.48,14
Police Officer,M,White,77767.04,8
Police Corporal/Detective,M,White,103844.0,23
Police Corporal/Detective,M,White,103844.0,25
Police Officer,F,White,72681.44,7
Police Corporal/Detective,M,White,103844.0,19
Police Officer,M,White,72681.44,7
Police Officer,M,Hispanic or Latino,77767.04,11
Police Corporal/Detective,M,White,97048.64,16
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,97048.64,17
Police Officer,M,White,77767.04,10
Police Officer,M,Hispanic or Latino,77767.04,15
Police Officer,F,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,89034.4,16
Administrative Specialist,F,White,51542.4,20
Police Officer,M,Hispanic or Latino,77767.04,17
Police Officer,M,Hispanic or Latino,72681.44,7
Police Officer,M,Hispanic or Latino,83210.4,13
Police Officer,M,Hispanic or Latino,72681.44,6
Police Officer,M,Hispanic or Latino,58680.96,2
Police Officer,M,Hispanic or Latino,72681.44,8
Police Officer,M,Hispanic or Latino,65850.72,3
Police Officer,M,Hispanic or Latino,83210.4,13
Police Officer,F,White,58680.96,2
Police Officer,M,Black or African American,83210.4,13
Police Officer,M,White,95270.24,20
Police Corporal/Detective,M,White,103844.0,20
Administrative Specialist,F,Hispanic or Latino,50960.0,13
Police Officer,M,White,72681.44,4
Police Officer,M,Black or African American,95270.24,18
Police Corporal/Detective,M,White,97048.64,16
Police Corporal/Detective,M,White,103844.0,18
Police Officer,M,Black or African American,77767.04,11
Police Officer,M,White,58680.96,2
Police Corporal/Detective,F,Black or African American,90700.48,13
Police Corporal/Detective,M,White,103844.0,20
Police Officer,M,White,72681.44,5
Police Officer,M,Black or African American,95270.24,18
Police Officer,M,White,95270.24,21
Police Officer,M,White,72681.44,5
Administrative Specialist,F,White,51542.4,19
Police Corporal/Detective,M,White,103844.0,23
Police Officer,M,White,95270.24,22
Police Officer,M,Black or African American,77767.04,10
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,84766.24,11
Police Officer,M,White,65850.72,3
Police Officer,M,Hispanic or Latino,58680.96,2
Administrative Specialist,F,White,46300.8,7
Police Officer,M,Hispanic or Latino,72681.44,6
Police Corporal/Detective,M,Hispanic or Latino,103844.0,18
Police Officer,M,White,89034.4,17
Police Corporal/Detective,M,Hispanic or Latino,103844.0,20
Police Officer,M,White,95270.24,27
Police Officer,M,Hispanic or Latino,83210.4,12
Police Officer,M,White,72681.44,4
Police Officer,M,Hispanic or Latino,72681.44,4
Police Corporal/Detective,M,Hispanic or Latino,103844.0,18
Police Officer,M,Hispanic or Latino,77767.04,11
Police Corporal/Detective,M,Hispanic or Latino,97048.64,18
Police Officer,M,Asian,65850.72,3
Police Officer,M,White,72681.44,4
Police Officer,M,White,72681.44,4
Police Officer,M,White,72681.44,5
Police Officer,M,White,89034.4,16
Police Officer,M,White,77767.04,11
Police Officer,M,White,77767.04,8
Police Corporal/Detective,F,Black or African American,90700.48,13
Police Officer,M,White,83210.4,15
Police Officer,F,White,77767.04,11
Police Officer,M,White,72681.44,7
Police Officer,M,White,77767.04,10
Police Officer,M,White,72681.44,7
Police Officer,M,White,83210.4,13
Police Officer,F,Hispanic or Latino,83210.4,18
Police Officer,F,White,58680.96,2
Police Officer,M,White,95270.24,24
Police Officer,M,White,89034.4,16
Police Officer,M,White,95270.24,23
Police Corporal/Detective,M,White,103844.0,27
Police Corporal/Detective,M,White,90700.48,15
Police Officer,M,White,58680.96,2
Police Corporal/Detective,M,White,90700.48,13
Police Officer,M,White,72681.44,6
Police Officer,M,White,89034.4,16
Police Corporal/Detective,M,White,103844.0,19
Police Officer,M,White,89034.4,17
Police Corporal/Detective,M,Hispanic or Latino,97048.64,17
Police Corporal/Detective,M,White,84766.24,8
Police Officer,M,White,77767.04,10
Police Officer,M,Black or African American,77767.04,11
Police Officer,M,Asian,95270.24,26
Police Officer,M,White,72681.44,5
Police Officer,M,White,72681.44,4
Police Officer,M,Asian,72681.44,7
Police Officer,M,White,72681.44,3
Police Officer,M,White,77767.04,8
Police Officer,M,White,72681.44,4
Police Officer,M,White,77767.04,8
Police Officer,M,White,83210.4,12
Police Officer,F,White,72681.44,6
Police Officer,M,White,72681.44,5
Police Officer,M,White,65850.72,3
Police Officer,M,Hispanic or Latino,83210.4,13
Police Corporal/Detective,M,Hispanic or Latino,103844.0,18
Police Officer,M,Hispanic or Latino,77767.04,10
Police Officer,M,Hispanic or Latino,72681.44,4
